Executed MPI Program,Number of MPI Processes,Execution Time (ms),Memory Usage (KB)
raft.c,5,126.09,1416
raft.c,5,126.09,1424
raft.c,6,126.19,1428
raft.c,6,126.50,1428
raft.c,6,126.43,1428
raft.c,6,126.27,1428
raft.c,6,125.93,1428
raft.c,6,128.00,1424
raft.c,6,130.65,1412
raft.c,6,154.63,1424
raft.c,6,126.08,1424
raft.c,6,126.29,1416
raft.c,6,127.09,1420
raft.c,6,126.22,1424
raft.c,6,126.81,1424
raft.c,6,127.42,1428
raft.c,6,125.86,1424
raft.c,6,126.31,1408
raft.c,6,126.16,1424
raft.c,6,126.61,1424
raft.c,6,127.81,1412
raft.c,6,126.05,1424
raft.c,6,125.70,1416
raft.c,6,125.95,1424
raft.c,6,126.94,1408
raft.c,6,126.06,1412
raft.c,6,127.01,1424
raft.c,6,126.67,1424
raft.c,6,126.42,1416
raft.c,6,126.24,1424
raft.c,6,126.08,1428
raft.c,6,126.35,1428
raft.c,6,125.72,1424
raft.c,6,126.09,1428
raft.c,6,125.80,1420
raft.c,6,126.13,1424
raft.c,6,125.98,1428
raft.c,6,126.71,1424
raft.c,6,126.75,1428
raft.c,6,126.35,1408
raft.c,6,125.96,1424
raft.c,6,126.07,1428
raft.c,6,126.33,1424
raft.c,6,126.24,1412
raft.c,6,126.30,1424
raft.c,6,126.47,1420
raft.c,6,125.66,1408
raft.c,6,126.86,1428
raft.c,6,126.08,1424
raft.c,6,125.74,1424
raft.c,6,125.93,1412
raft.c,6,126.23,1428
raft.c,6,126.43,1428
raft.c,6,126.86,1412
raft.c,6,125.97,1424
raft.c,6,125.69,1412
raft.c,6,126.15,1428
raft.c,6,126.65,1428
raft.c,6,125.53,1424
raft.c,6,125.68,1424
raft.c,6,125.87,1412
raft.c,6,125.76,1408
raft.c,6,125.64,1416
raft.c,6,127.74,1428
raft.c,6,127.01,1424
raft.c,6,126.70,1428
raft.c,6,127.42,1412
raft.c,6,126.17,1424
raft.c,6,125.83,1428
raft.c,6,126.95,1428
raft.c,6,125.81,1428
raft.c,6,126.22,1420
raft.c,6,125.81,1424
raft.c,6,126.11,1428
raft.c,6,126.83,1424
raft.c,6,126.75,1416
raft.c,6,126.06,1424
raft.c,6,125.75,1428
raft.c,6,126.02,1424
raft.c,6,126.21,1408
raft.c,6,126.14,1428
raft.c,6,126.19,1420
raft.c,6,125.55,1424
raft.c,6,125.20,1404
raft.c,6,125.78,1428
raft.c,6,125.50,1424
raft.c,6,126.05,1412
raft.c,6,126.36,1428
raft.c,6,126.06,1412
raft.c,6,126.28,1428
raft.c,6,125.58,1412
raft.c,6,126.57,1428
raft.c,6,125.55,1412
raft.c,6,125.54,1420
raft.c,6,126.41,1412
raft.c,6,126.19,1408
raft.c,6,125.92,1424
raft.c,6,125.95,1424
raft.c,6,126.15,1424
raft.c,6,126.33,1408
raft.c,6,125.25,1424
raft.c,6,126.27,1428
raft.c,7,125.68,1428
raft.c,7,126.44,1424
raft.c,7,125.56,1428
raft.c,7,125.78,1416
raft.c,7,126.57,1424
raft.c,7,125.32,1420
raft.c,7,126.50,1424
raft.c,7,126.22,1408
raft.c,7,126.34,1404
raft.c,7,125.80,1428
raft.c,7,125.84,1408
raft.c,7,126.23,1424
raft.c,7,127.33,1408
raft.c,7,125.92,1428
raft.c,7,126.81,1420
raft.c,7,125.57,1428
raft.c,7,127.39,1424
raft.c,7,127.80,1424
raft.c,7,126.27,1424
raft.c,7,125.55,1424
raft.c,7,128.30,1424
raft.c,7,127.99,1428
raft.c,7,126.73,1428
raft.c,7,130.05,1428
raft.c,7,125.43,1412
raft.c,7,127.16,1428
raft.c,7,126.65,1428
raft.c,7,127.58,1428
raft.c,7,126.69,1428
raft.c,7,127.68,1420
raft.c,7,125.99,1428
raft.c,7,126.59,1412
raft.c,7,126.25,1424
raft.c,7,127.12,1408
raft.c,7,126.34,1424
raft.c,7,125.73,1424
raft.c,7,125.54,1408
raft.c,7,126.32,1416
raft.c,7,125.97,1428
raft.c,7,125.90,1420
raft.c,7,125.42,1428
raft.c,7,126.59,1404
raft.c,7,126.51,1428
raft.c,7,126.45,1424
raft.c,7,126.14,1428
raft.c,7,126.48,1420
raft.c,7,125.98,1428
raft.c,7,126.82,1424
raft.c,7,127.16,1428
raft.c,7,127.52,1424
raft.c,7,126.42,1428
raft.c,7,126.38,1424
raft.c,7,127.44,1424
raft.c,7,126.84,1424
raft.c,7,127.10,1416
raft.c,7,127.11,1424
raft.c,7,126.77,1428
raft.c,7,126.05,1428
raft.c,7,125.72,1408
raft.c,7,126.02,1416
raft.c,7,125.88,1428
raft.c,7,125.67,1416
raft.c,7,125.79,1424
raft.c,7,126.27,1424
raft.c,7,126.18,1420
raft.c,7,125.91,1428
raft.c,7,126.07,1424
raft.c,7,126.24,1424
raft.c,7,126.58,1424
raft.c,7,126.63,1412
raft.c,7,126.14,1428
raft.c,7,128.18,1424
raft.c,7,125.44,1412
raft.c,7,126.68,1420
raft.c,7,126.75,1424
raft.c,7,125.62,1424
raft.c,7,125.98,1428
raft.c,7,125.98,1424
raft.c,7,126.34,1428
raft.c,7,126.83,1424
raft.c,7,126.36,1424
raft.c,7,126.01,1420
raft.c,7,126.39,1420
raft.c,7,126.03,1428
raft.c,7,125.44,1428
raft.c,7,126.77,1428
raft.c,7,125.98,1424
raft.c,7,125.88,1428
raft.c,7,127.03,1428
raft.c,7,125.80,1428
raft.c,7,126.67,1428
raft.c,7,125.95,1424
raft.c,7,126.90,1424
raft.c,7,125.61,1416
raft.c,7,125.67,1412
raft.c,7,125.99,1424
raft.c,7,125.87,1428
raft.c,7,126.34,1424
raft.c,7,125.88,1428
raft.c,7,124.85,1428
raft.c,8,126.62,1412
raft.c,8,126.48,1416
raft.c,8,126.28,1428
raft.c,8,125.63,1428
raft.c,8,126.41,1428
raft.c,8,125.83,1408
raft.c,8,126.21,1428
raft.c,8,125.76,1424
raft.c,8,126.58,1408
raft.c,8,126.09,1416
raft.c,8,126.80,1424
raft.c,8,126.56,1428
raft.c,8,126.23,1420
raft.c,8,126.24,1420
raft.c,8,126.32,1424
raft.c,8,127.72,1424
raft.c,8,126.54,1416
raft.c,8,127.17,1424
raft.c,8,126.71,1428
raft.c,8,126.14,1424
raft.c,8,126.32,1424
raft.c,8,126.77,1420
raft.c,8,126.19,1428
raft.c,8,125.74,1424
raft.c,8,125.09,1424
raft.c,8,126.19,1424
raft.c,8,126.83,1428
raft.c,8,125.77,1424
raft.c,8,126.19,1416
raft.c,8,126.42,1424
raft.c,8,125.94,1428
raft.c,8,126.58,1408
raft.c,8,125.81,1424
raft.c,8,125.30,1424
raft.c,8,126.02,1416
raft.c,8,125.78,1428
raft.c,8,128.39,1420
raft.c,8,125.62,1416
raft.c,8,127.17,1428
raft.c,8,126.40,1428
raft.c,8,128.06,1428
raft.c,8,126.63,1424
raft.c,8,125.96,1428
raft.c,8,125.77,1428
raft.c,8,126.03,1412
raft.c,8,126.40,1416
raft.c,8,125.75,1428
raft.c,8,125.98,1424
raft.c,8,126.21,1428
raft.c,8,125.91,1412
raft.c,8,125.63,1428
raft.c,8,125.96,1424
raft.c,8,126.63,1424
raft.c,8,125.77,1424
raft.c,8,126.07,1424
raft.c,8,126.83,1428
raft.c,8,126.37,1424
raft.c,8,126.32,1420
raft.c,8,125.83,1424
raft.c,8,127.04,1428
raft.c,8,126.19,1424
raft.c,8,126.75,1424
raft.c,8,126.15,1428
raft.c,8,125.88,1428
raft.c,8,126.46,1428
raft.c,8,126.81,1428
raft.c,8,126.43,1416
raft.c,8,127.64,1428
raft.c,8,127.27,1412
raft.c,8,127.13,1428
raft.c,8,128.65,1424
raft.c,8,125.95,1416
raft.c,8,128.42,1428
raft.c,8,126.29,1428
raft.c,8,127.13,1428
raft.c,8,141.98,1412
raft.c,8,127.03,1420
raft.c,8,126.44,1428
raft.c,8,126.71,1424
raft.c,8,126.42,1428
raft.c,8,125.95,1428
raft.c,8,126.70,1424
raft.c,8,126.54,1424
raft.c,8,125.91,1424
raft.c,8,126.81,1424
raft.c,8,126.36,1424
raft.c,8,126.64,1424
raft.c,8,125.84,1424
raft.c,8,126.20,1424
raft.c,8,126.32,1428
raft.c,8,126.61,1428
raft.c,8,126.61,1428
raft.c,8,126.45,1428
raft.c,8,126.02,1424
raft.c,8,125.96,1428
raft.c,8,126.77,1404
raft.c,8,126.77,1424
raft.c,8,125.78,1428
raft.c,8,126.75,1428
raft.c,8,126.61,1412
raft.c,9,126.07,1424
raft.c,9,126.89,1424
raft.c,9,126.00,1424
raft.c,9,126.32,1412
raft.c,9,126.63,1412
raft.c,9,125.83,1424
raft.c,9,125.91,1428
raft.c,9,126.15,1428
raft.c,9,125.93,1424
raft.c,9,126.62,1424
raft.c,9,126.08,1424
raft.c,9,126.07,1424
raft.c,9,127.73,1416
raft.c,9,125.83,1420
raft.c,9,126.39,1424
raft.c,9,126.15,1404
raft.c,9,126.76,1428
raft.c,9,126.37,1428
raft.c,9,125.89,1428
raft.c,9,125.84,1428
raft.c,9,129.97,1420
raft.c,9,126.20,1424
raft.c,9,125.70,1428
raft.c,9,126.42,1428
raft.c,9,125.82,1428
raft.c,9,126.81,1428
raft.c,9,127.22,1428
raft.c,9,125.66,1424
raft.c,9,126.49,1428
raft.c,9,126.11,1424
raft.c,9,126.16,1424
raft.c,9,126.87,1424
raft.c,9,125.91,1424
raft.c,9,126.08,1424
raft.c,9,127.01,1424
raft.c,9,136.38,1428
raft.c,9,126.64,1420
raft.c,9,126.92,1428
raft.c,9,126.35,1424
raft.c,9,127.34,1420
raft.c,9,126.16,1420
raft.c,9,126.95,1424
raft.c,9,126.42,1424
raft.c,9,126.44,1428
raft.c,9,126.28,1420
raft.c,9,127.31,1428
raft.c,9,126.51,1424
raft.c,9,126.53,1408
raft.c,9,125.90,1428
raft.c,9,126.07,1420
raft.c,9,126.77,1428
raft.c,9,126.16,1424
raft.c,9,126.27,1420
raft.c,9,126.99,1428
raft.c,9,125.77,1412
raft.c,9,126.49,1428
raft.c,9,126.61,1408
raft.c,9,127.33,1428
raft.c,9,125.73,1428
raft.c,9,126.47,1428
raft.c,9,126.29,1428
raft.c,9,126.72,1416
raft.c,9,126.69,1428
raft.c,9,125.86,1420
raft.c,9,127.68,1424
raft.c,9,126.37,1424
raft.c,9,126.40,1424
raft.c,9,126.21,1424
raft.c,9,126.57,1428
raft.c,9,126.92,1420
raft.c,9,126.58,1408
raft.c,9,125.95,1420
raft.c,9,126.03,1428
raft.c,9,126.12,1416
raft.c,9,126.14,1416
raft.c,9,126.00,1424
raft.c,9,126.34,1424
raft.c,9,125.97,1424
raft.c,9,127.16,1428
raft.c,9,126.04,1424
raft.c,9,125.64,1428
raft.c,9,126.72,1424
raft.c,9,126.50,1424
raft.c,9,126.30,1424
raft.c,9,126.48,1424
raft.c,9,126.69,1408
raft.c,9,126.03,1424
raft.c,9,126.55,1416
raft.c,9,125.89,1412
raft.c,9,127.04,1428
raft.c,9,127.00,1428
raft.c,9,126.31,1420
raft.c,9,126.80,1428
raft.c,9,127.08,1428
raft.c,9,126.44,1424
raft.c,9,127.19,1428
raft.c,9,126.01,1420
raft.c,9,126.60,1420
raft.c,9,126.73,1428
raft.c,9,127.38,1416
raft.c,10,126.77,1428
raft.c,10,127.08,1424
raft.c,10,127.32,1428
raft.c,10,126.38,1428
raft.c,10,126.32,1408
raft.c,10,126.10,1416
raft.c,10,125.98,1424
raft.c,10,126.23,1424
raft.c,10,126.09,1428
raft.c,10,125.80,1428
raft.c,10,126.12,1420
